T22,Major trading partners,,,,,,,
Region/Country/Area,,Year,Series,Major trading partner 1 (% of exports),Major trading partner 1 (% of exports) footnote,Value,Footnotes,Source
4,Afghanistan,2010,Major trading partner 1 (% of exports),Pakistan,,39.0,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
4,Afghanistan,2015,Major trading partner 1 (% of exports),Pakistan,,39.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
4,Afghanistan,2022,Major trading partner 1 (% of exports),Pakistan,,34.6,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
4,Afghanistan,2010,Major trading partner 1 (% of imports),United Arab Emirates,,2.0,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
4,Afghanistan,2015,Major trading partner 1 (% of imports),United Arab Emirates,,4.2,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
4,Afghanistan,2022,Major trading partner 1 (% of imports),United Arab Emirates,,26.2,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
4,Afghanistan,2010,Major trading partner 2 (% of exports),United Arab Emirates,,1.6,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
4,Afghanistan,2015,Major trading partner 2 (% of exports),United Arab Emirates,,4.3,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
4,Afghanistan,2022,Major trading partner 2 (% of exports),United Arab Emirates,,30.3,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
4,Afghanistan,2010,Major trading partner 2 (% of imports),Kazakhstan,,4.0,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
4,Afghanistan,2015,Major trading partner 2 (% of imports),Kazakhstan,,5.5,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
4,Afghanistan,2022,Major trading partner 2 (% of imports),Kazakhstan,,15.9,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
4,Afghanistan,2010,Major trading partner 3 (% of exports),India,,16.8,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
4,Afghanistan,2015,Major trading partner 3 (% of exports),India,,33.1,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
4,Afghanistan,2022,Major trading partner 3 (% of exports),India,,22.1,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
4,Afghanistan,2010,Major trading partner 3 (% of imports),Pakistan,,11.6,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
4,Afghanistan,2015,Major trading partner 3 (% of imports),Pakistan,,17.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
4,Afghanistan,2022,Major trading partner 3 (% of imports),Pakistan,,14.2,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
8,Albania,2010,Major trading partner 1 (% of exports),Italy,,50.8,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
8,Albania,2015,Major trading partner 1 (% of exports),Italy,,50.9,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
8,Albania,2022,Major trading partner 1 (% of exports),Italy,,49.5,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
8,Albania,2010,Major trading partner 1 (% of imports),Italy,,28.2,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
8,Albania,2015,Major trading partner 1 (% of imports),Italy,,30.3,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
8,Albania,2022,Major trading partner 1 (% of imports),Italy,,23.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
8,Albania,2010,Major trading partner 2 (% of exports),Serbia,,8.3,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
8,Albania,2015,Major trading partner 2 (% of exports),Serbia,,9.9,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
8,Albania,2022,Major trading partner 2 (% of exports),Serbia,,10.2,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
8,Albania,2010,Major trading partner 2 (% of imports),Türkiye,,5.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
8,Albania,2015,Major trading partner 2 (% of imports),Türkiye,,8.0,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
8,Albania,2022,Major trading partner 2 (% of imports),Türkiye,,12.0,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
8,Albania,2015,Major trading partner 3 (% of exports),Montenegro,,1.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
8,Albania,2022,Major trading partner 3 (% of exports),Montenegro,,7.9,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
8,Albania,2010,Major trading partner 3 (% of imports),Greece,,13.1,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
8,Albania,2015,Major trading partner 3 (% of imports),Greece,,7.8,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
8,Albania,2022,Major trading partner 3 (% of imports),Greece,,10.1,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
12,Algeria,2010,Major trading partner 1 (% of exports),Italy,,15.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
12,Algeria,2015,Major trading partner 1 (% of exports),Italy,,15.1,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
12,Algeria,2022,Major trading partner 1 (% of exports),Italy,,33.0,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
12,Algeria,2010,Major trading partner 1 (% of imports),China,,11.2,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
12,Algeria,2015,Major trading partner 1 (% of imports),China,,15.9,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
12,Algeria,2022,Major trading partner 1 (% of imports),China,,15.9,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
12,Algeria,2010,Major trading partner 2 (% of exports),Spain,,10.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
12,Algeria,2015,Major trading partner 2 (% of exports),Spain,,17.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
