"Date","Price","Open","High","Low","Vol.","Change %"
"03/15/2010","1.7635","1.7638","1.7692","1.7602","","0.03%"
"03/12/2010","1.7630","1.7647","1.7700","1.7572","","-0.06%"
"03/11/2010","1.7641","1.7687","1.7756","1.7636","","-0.25%"
"03/10/2010","1.7685","1.7753","1.7818","1.7652","","-0.38%"
"03/09/2010","1.7752","1.7878","1.8013","1.7752","","-0.68%"
"03/08/2010","1.7873","1.7773","1.7913","1.7703","","0.50%"
"03/05/2010","1.7784","1.7883","1.7912","1.7764","","-0.56%"
"03/04/2010","1.7885","1.7902","1.7954","1.7822","","-0.08%"
"03/03/2010","1.7900","1.7919","1.7942","1.7738","","-0.11%"
"03/02/2010","1.7919","1.7957","1.7969","1.7797","","-0.21%"
"03/01/2010","1.7957","1.8060","1.8140","1.7933","","-0.64%"
"02/26/2010","1.8072","1.8241","1.8332","1.7985","","-0.89%"
"02/25/2010","1.8235","1.8249","1.8411","1.8148","","-0.08%"
"02/24/2010","1.8250","1.8255","1.8280","1.8164","","-0.03%"
"02/23/2010","1.8255","1.8120","1.8310","1.8035","","0.77%"
"02/22/2010","1.8115","1.7988","1.8126","1.7875","","0.39%"
"02/19/2010","1.8045","1.8225","1.8256","1.7925","","-1.26%"
"02/18/2010","1.8275","1.8330","1.8440","1.8076","","-0.28%"
"02/17/2010","1.8326","1.8390","1.8550","1.8255","","-0.29%"
"02/16/2010","1.8379","1.8557","1.8611","1.8379","","-0.90%"
"02/15/2010","1.8545","1.8620","1.8620","1.8545","","0.19%"
"02/12/2010","1.8509","1.8577","1.8782","1.8492","","-0.14%"
"02/11/2010","1.8535","1.8495","1.8636","1.8390","","-0.16%"
"02/10/2010","1.8565","1.8470","1.8645","1.8310","","0.49%"
"02/09/2010","1.8475","1.8706","1.8835","1.8399","","-1.53%"
"02/08/2010","1.8762","1.8822","1.8902","1.8517","","-0.31%"
"02/05/2010","1.8820","1.8805","1.8950","1.8617","","0.43%"
"02/04/2010","1.8739","1.8410","1.8980","1.8410","","1.26%"
"02/03/2010","1.8505","1.8297","1.8572","1.8095","","1.14%"
"02/02/2010","1.8297","1.8467","1.8490","1.8240","","-1.50%"
"02/01/2010","1.8575","1.8690","1.8985","1.8468","","-1.46%"
"01/29/2010","1.8850","1.8693","1.8971","1.8473","","0.80%"
"01/28/2010","1.8700","1.8580","1.8790","1.8436","","0.92%"
"01/27/2010","1.8530","1.8365","1.8705","1.8301","","0.93%"
"01/26/2010","1.8360","1.8165","1.8505","1.8136","","0.82%"
"01/25/2010","1.8210","1.8150","1.8240","1.8092","","0.26%"
"01/22/2010","1.8162","1.8030","1.8331","1.7855","","0.70%"
"01/21/2010","1.8035","1.7885","1.8097","1.7815","","0.78%"
"01/20/2010","1.7895","1.7704","1.7956","1.7700","","1.06%"
"01/19/2010","1.7708","1.7597","1.7814","1.7597","","0.61%"
"01/18/2010","1.7600","1.7710","1.7787","1.7585","","-0.66%"
"01/15/2010","1.7717","1.7580","1.7742","1.7555","","0.75%"
"01/14/2010","1.7585","1.7575","1.7740","1.7490","","0.09%"
"01/13/2010","1.7570","1.7462","1.7617","1.7335","","0.51%"
"01/12/2010","1.7480","1.7340","1.7506","1.7320","","0.69%"
"01/11/2010","1.7360","1.7265","1.7395","1.7150","","0.57%"
"01/08/2010","1.7262","1.7461","1.7522","1.7218","","-1.16%"
"01/07/2010","1.7465","1.7310","1.7518","1.7310","","0.81%"
"01/06/2010","1.7325","1.7296","1.7393","1.7241","","0.09%"
"01/05/2010","1.7310","1.7193","1.7398","1.7145","","0.57%"
"01/04/2010","1.7212","1.7288","1.7338","1.7161","","-1.25%"
"01/01/2010","1.7430","1.7430","1.7430","1.7430","","0.00%"
"12/31/2009","1.7430","1.7401","1.7435","1.7401","","0.16%"
"12/30/2009","1.7403","1.7416","1.7500","1.7359","","-0.11%"
"12/29/2009","1.7423","1.7404","1.7465","1.7267","","0.10%"
"12/28/2009","1.7405","1.7466","1.7490","1.7300","","-1.25%"
"12/25/2009","1.7625","1.7625","1.7625","1.7625","","0.00%"
"12/24/2009","1.7625","1.7619","1.7625","1.7619","","0.03%"
"12/23/2009","1.7619","1.7784","1.7826","1.7500","","-1.03%"
"12/22/2009","1.7802","1.7826","1.7902","1.7769","","-0.21%"
"12/21/2009","1.7839","1.7788","1.7868","1.7688","","0.22%"
"12/18/2009","1.7800","1.7821","1.8011","1.7750","","-0.25%"
"12/17/2009","1.7845","1.7584","1.7987","1.7565","","1.62%"
"12/16/2009","1.7561","1.7516","1.7575","1.7441","","0.14%"
"12/15/2009","1.7536","1.7411","1.7669","1.7400","","0.50%"
"12/14/2009","1.7448","1.7576","1.7576","1.7390","","-0.83%"
"12/11/2009","1.7594","1.7567","1.7676","1.7453","","0.15%"
"12/10/2009","1.7568","1.7633","1.7755","1.7497","","-0.32%"
"12/09/2009","1.7625","1.7625","1.7757","1.7460","","0.02%"
"12/08/2009","1.7622","1.7344","1.7683","1.7268","","1.60%"
"12/07/2009","1.7345","1.7310","1.7435","1.7195","","0.14%"
"12/04/2009","1.7320","1.7115","1.7355","1.7005","","1.36%"
"12/03/2009","1.7087","1.7173","1.7183","1.7023","","-0.57%"
"12/02/2009","1.7185","1.7236","1.7265","1.7145","","-0.24%"
"12/01/2009","1.7227","1.7495","1.7498","1.7193","","-1.87%"
"11/30/2009","1.7555","1.7400","1.7585","1.7356","","0.86%"
"11/27/2009","1.7405","1.7479","1.7610","1.7300","","-0.40%"
"11/26/2009","1.7475","1.7350","1.7550","1.7270","","1.12%"
"11/25/2009","1.7282","1.7263","1.7376","1.7193","","-0.38%"
"11/24/2009","1.7348","1.7271","1.7386","1.7193","","0.43%"
"11/23/2009","1.7273","1.7297","1.7325","1.7150","","-0.27%"
"11/20/2009","1.7320","1.7275","1.7380","1.7275","","0.30%"
"11/19/2009","1.7268","1.7260","1.7399","1.7185","","0.06%"
"11/18/2009","1.7258","1.7110","1.7282","1.7030","","0.86%"
"11/17/2009","1.7110","1.7130","1.7280","1.7100","","-0.04%"
"11/16/2009","1.7116","1.7163","1.7198","1.7068","","-0.56%"
"11/13/2009","1.7213","1.7343","1.7441","1.7148","","-0.76%"
"11/12/2009","1.7345","1.7188","1.7419","1.7151","","0.98%"
"11/11/2009","1.7176","1.7115","1.7250","1.6980","","0.36%"
"11/10/2009","1.7115","1.6990","1.7192","1.6935","","0.66%"
"11/09/2009","1.7002","1.7203","1.7203","1.6973","","-1.05%"
"11/06/2009","1.7182","1.7158","1.7268","1.7095","","0.13%"
"11/05/2009","1.7160","1.7215","1.7312","1.7145","","-0.29%"
"11/04/2009","1.7210","1.7460","1.7460","1.7179","","-1.40%"
"11/03/2009","1.7455","1.7615","1.7805","1.7357","","-1.13%"
"11/02/2009","1.7655","1.7635","1.7655","1.7635","","0.11%"
"10/30/2009","1.7635","1.7340","1.7722","1.7180","","1.76%"
"10/29/2009","1.7330","1.7770","1.7775","1.7240","","-2.50%"
"10/28/2009","1.7775","1.7423","1.7822","1.7310","","2.27%"
"10/27/2009","1.7380","1.7330","1.7465","1.7235","","0.29%"
"10/26/2009","1.7330","1.7140","1.7446","1.7015","","0.88%"
"10/23/2009","1.7178","1.7188","1.7212","1.7077","","-0.01%"
"10/22/2009","1.7180","1.7335","1.7412","1.7160","","-0.84%"
"10/21/2009","1.7325","1.7545","1.7694","1.7210","","-1.20%"
"10/20/2009","1.7535","1.7170","1.7650","1.7165","","2.16%"
"10/19/2009","1.7165","1.7080","1.7195","1.7040","","0.53%"
"10/16/2009","1.7075","1.7010","1.7252","1.7008","","0.33%"
"10/15/2009","1.7018","1.7018","1.7151","1.6978","","0.05%"
"10/14/2009","1.7010","1.7210","1.7210","1.7005","","-1.21%"
"10/13/2009","1.7218","1.7332","1.7401","1.7212","","-1.23%"
"10/12/2009","1.7432","1.7432","1.7432","1.7432","","0.00%"
"10/09/2009","1.7432","1.7398","1.7473","1.7345","","0.28%"
"10/08/2009","1.7384","1.7488","1.7532","1.7324","","-0.57%"
"10/07/2009","1.7484","1.7727","1.7727","1.7477","","-0.39%"
"10/06/2009","1.7553","1.7598","1.7605","1.7435","","-0.25%"
"10/05/2009","1.7597","1.7820","1.7820","1.7595","","-1.24%"
"10/02/2009","1.7818","1.7866","1.8074","1.7725","","-0.29%"
"10/01/2009","1.7870","1.7730","1.7933","1.7660","","0.87%"
"09/30/2009","1.7715","1.7875","1.7933","1.7588","","-0.94%"
"09/29/2009","1.7883","1.7917","1.7978","1.7856","","0.11%"
"09/28/2009","1.7864","1.7875","1.7963","1.7820","","-0.26%"
"09/25/2009","1.7910","1.8012","1.8164","1.7885","","-0.49%"
"09/24/2009","1.7999","1.7973","1.8138","1.7792","","0.11%"
"09/23/2009","1.7980","1.7935","1.8003","1.7804","","0.28%"
"09/22/2009","1.7930","1.8225","1.8225","1.7905","","-1.70%"
"09/21/2009","1.8240","1.8080","1.8277","1.8080","","0.81%"
"09/18/2009","1.8093","1.8048","1.8145","1.7977","","0.22%"
"09/17/2009","1.8053","1.8026","1.8179","1.7956","","0.23%"
